书籍编号	书籍名称	书籍作者	出版年份
B0001	《三国演义》	罗贯中	1494
B0002	《水浒传》	施耐庵	1370
B0003	《西游记》	吴承恩	1592
B0004	《红楼梦》	曹雪芹	1791
B0005	《聊斋志异》	蒲松龄	1740
B0006	《儒林外史》	吴敬梓	1750
B0007	《牡丹亭》	汤显祖	1598
B0008	《桃花扇》	孔尚任	1699
B0009	《资治通鉴》	司马光	1084
B0010	《史记》	司马迁	91
B0011	《呐喊》	鲁迅	1923
B0012	《彷徨》	鲁迅	1926
B0013	《朝花夕拾》	鲁迅	1928
B0014	《围城》	钱钟书	1947
B0015	《骆驼祥子》	老舍	1936
B0016	《四世同堂》	老舍	1944
B0017	《茶馆》	老舍	1957
B0018	《家》	巴金	1931
B0019	《春》	巴金	1938
B0020	《秋》	巴金	1940
B0021	《雷雨》	曹禺	1934
B0022	《边城》	沈从文	1934
B0023	《子夜》	茅盾	1933
B0024	《繁星·春水》	冰心	1923
B0025	《城南旧事》	林海音	1960
B0026	《红高粱家族》	莫言	1986
B0027	《蛙》	莫言	2009
B0028	《活着》	余华	1993
B0029	《许三观卖血记》	余华	1995
B0030	《兄弟》	余华	2005
B0031	《白鹿原》	陈忠实	1993
B0032	《平凡的世界》	路遥	1986
B0033	《人生》	路遥	1982
B0034	《秦腔》	贾平凹	2005
B0035	《废都》	贾平凹	1993
B0036	《射雕英雄传》	金庸	1957
B0037	《神雕侠侣》	金庸	1959
B0038	《倚天屠龙记》	金庸	1961
B0039	《天龙八部》	金庸	1963
B0040	《笑傲江湖》	金庸	1967
B0041	《鹿鼎记》	金庸	1969
B0042	《多情剑客无情剑》	古龙	1969
B0043	《楚留香传奇》	古龙	1967
B0044	《三体》	刘慈欣	2008
B0045	《球状闪电》	刘慈欣	2004
B0046	《流浪地球》	刘慈欣	2000
B0047	《三体II·黑暗森林》	刘慈欣	2008
B0048	《三体III·死神永生》	刘慈欣	2010
B0049	《北京折叠》	郝景芳	2012
B0050	《繁花》	金宇澄	2012
B0051	《百年孤独》	加西亚·马尔克斯	1967
B0052	《霍乱时期的爱情》	加西亚·马尔克斯	1985
B0053	《老人与海》	海明威	1952
B0054	《了不起的盖茨比》	菲茨杰拉德	1925
B0055	《飘》	玛格丽特·米切尔	1936
B0056	《1984》	乔治·奥威尔	1949
B0057	《动物农场》	乔治·奥威尔	1945
B0058	《傲慢与偏见》	简·奥斯汀	1813
B0059	《呼啸山庄》	艾米莉·勃朗特	1847
B0060	《简·爱》	夏洛蒂·勃朗特	1847
B0061	《悲惨世界》	雨果	1862
B0062	《巴黎圣母院》	雨果	1831
B0063	《红与黑》	司汤达	1830
B0064	《茶花女》	小仲马	1848
B0065	《基督山伯爵》	大仲马	1844
B0066	《安娜·卡列尼娜》	托尔斯泰	1877
B0067	《战争与和平》	托尔斯泰	1869
B0068	《复活》	托尔斯泰	1899
B0069	《罪与罚》	陀思妥耶夫斯基	1866
B0070	《卡拉马佐夫兄弟》	陀思妥耶夫斯基	1880
B0071	《童年》	高尔基	1913
B0072	《钢铁是怎样炼成的》	奥斯特洛夫斯基	1932
B0073	《变形记》	卡夫卡	1915
B0074	《城堡》	卡夫卡	1926
B0075	《小王子》	圣埃克苏佩里	1943
B0076	《汤姆叔叔的小屋》	斯托夫人	1852
B0077	《鲁滨逊漂流记》	笛福	1719
B0078	《格列佛游记》	斯威夫特	1726
B0079	《唐吉诃德》	塞万提斯	1605
B0080	《神曲》	但丁	1320
B0081	《红字》	霍桑	1850
B0082	《月亮与六便士》	毛姆	1919
B0083	《人性的枷锁》	毛姆	1915
B0084	《麦田里的守望者》	塞林格	1951
B0085	《杀死一只知更鸟》	哈珀·李	1960
B0086	《瓦尔登湖》	梭罗	1854
B0087	《新月集·飞鸟集》	泰戈尔	1913
B0088	《雪国》	川端康成	1948
B0089	《源氏物语》	紫式部	1008
B0090	《时间简史》	史蒂芬·霍金	1988
B0091	《物种起源》	达尔文	1859
B0092	《自私的基因》	理查德·道金斯	1976
B0093	《沉默的大多数》	王小波	1997
B0094	《黄金时代》	王小波	1997
B0095	《明朝那些事儿》	当年明月	2006
B0096	《万历十五年》	黄仁宇	1981
B0097	《中国历代政治得失》	钱穆	1952
B0098	《乡土中国》	费孝通	1948
B0099	《围炉夜话》	王永彬	1878
B0100	《人间词话》	王国维	1908
B0101	《重生之我是王乾宇》	梁振廷	2026
