书籍编号	书籍名称	作者	年份	状态	借阅时间
B0001	《三国演义》	罗贯中	1494	可借阅	无
B0002	《水浒传》	施耐庵	1370	可借阅	无
B0003	《西游记》	吴承恩	1592	可借阅	无
B0004	《红楼梦》	曹雪芹	1791	可借阅	无
B0005	《聊斋志异》	蒲松龄	1740	可借阅	无
B0006	《儒林外史》	吴敬梓	1750	可借阅	无
B0007	《牡丹亭》	汤显祖	1598	可借阅	无
B0008	《桃花扇》	孔尚任	1699	可借阅	无
B0009	《资治通鉴》	司马光	1084	可借阅	无
B0010	《史记》	司马迁	91	可借阅	无
B0011	《呐喊》	鲁迅	1923	可借阅	无
B0012	《彷徨》	鲁迅	1926	可借阅	无
B0013	《朝花夕拾》	鲁迅	1928	可借阅	无
B0014	《围城》	钱钟书	1947	可借阅	无
B0015	《骆驼祥子》	老舍	1936	可借阅	无
B0016	《四世同堂》	老舍	1944	可借阅	无
B0017	《茶馆》	老舍	1957	可借阅	无
B0018	《家》	巴金	1931	可借阅	无
B0019	《春》	巴金	1938	可借阅	无
B0020	《秋》	巴金	1940	可借阅	无
B0021	《雷雨》	曹禺	1934	可借阅	无
B0022	《边城》	沈从文	1934	可借阅	无
B0023	《子夜》	茅盾	1933	可借阅	无
B0024	《繁星·春水》	冰心	1923	可借阅	无
B0025	《城南旧事》	林海音	1960	可借阅	无
B0026	《红高粱家族》	莫言	1986	可借阅	无
B0027	《蛙》	莫言	2009	可借阅	无
B0028	《活着》	余华	1993	可借阅	无
B0029	《许三观卖血记》	余华	1995	可借阅	无
B0030	《兄弟》	余华	2005	可借阅	无
B0031	《白鹿原》	陈忠实	1993	可借阅	无
B0032	《平凡的世界》	路遥	1986	可借阅	无
B0033	《人生》	路遥	1982	可借阅	无
B0034	《秦腔》	贾平凹	2005	可借阅	无
B0035	《废都》	贾平凹	1993	可借阅	无
B0036	《射雕英雄传》	金庸	1957	可借阅	无
B0037	《神雕侠侣》	金庸	1959	可借阅	无
B0038	《倚天屠龙记》	金庸	1961	可借阅	无
B0039	《天龙八部》	金庸	1963	可借阅	无
B0040	《笑傲江湖》	金庸	1967	可借阅	无
B0041	《鹿鼎记》	金庸	1969	可借阅	无
B0042	《多情剑客无情剑》	古龙	1969	可借阅	无
B0043	《楚留香传奇》	古龙	1967	可借阅	无
B0044	《三体》	刘慈欣	2008	可借阅	无
B0045	《球状闪电》	刘慈欣	2004	可借阅	无
B0046	《流浪地球》	刘慈欣	2000	可借阅	无
B0047	《三体II·黑暗森林》	刘慈欣	2008	可借阅	无
B0048	《三体III·死神永生》	刘慈欣	2010	可借阅	无
B0049	《北京折叠》	郝景芳	2012	可借阅	无
B0050	《繁花》	金宇澄	2012	可借阅	无
B0051	《百年孤独》	加西亚·马尔克斯	1967	可借阅	无
B0052	《霍乱时期的爱情》	加西亚·马尔克斯	1985	可借阅	无
B0053	《老人与海》	海明威	1952	可借阅	无
B0054	《了不起的盖茨比》	菲茨杰拉德	1925	可借阅	无
B0055	《飘》	玛格丽特·米切尔	1936	可借阅	无
B0056	《1984》	乔治·奥威尔	1949	可借阅	无
B0057	《动物农场》	乔治·奥威尔	1945	可借阅	无
B0058	《傲慢与偏见》	简·奥斯汀	1813	可借阅	无
